FROM,PIN LEFT,TO,PIN RIGHT,NOTES,AWG,LIMTS
J601A,28,P606,4,,,
J601A,28,J699,18,,,
J601A,29,P606,12,,,
J601A,29,J699,19,,,
J601A,20,P602,J,,,
J601A,21,P602,K,,,
J601A,25,P607,12,,,
J601A,17,P607,15,,,
J601A,27,P607,28,,,
J601A,10,P607,24,,,
J601A,4,P607,23,,,
J601A,4,J699,40,,,
J601A,26,P607,18,,,
J601A,18,P607,22,,,
J601A,5,P607,26,,,
J601A,33,P608,23,,,
J601A,23,P608,5,,,
J601A,15,P608,17,,,
J601A,8,P608,16,,,
J601A,14,P608,21,,,
J601A,16,P608,12,,,
J601A,3,P608,15,,,
J601A,24,P608,11,,,
J601A,22,P608,24,,,
J601A,31,P608,25,,,
J601A,32,P608,8,,,
J601A,9,P608,4,,,
P608,1,P604,A,,,
P608,2,P604,B,,,
P608,14,P604,C,,,
P608,3,P604,D,,,
P608,7,FTR2,19,,,
P608,19,FTR2,7,,,
P608,20,P607,20,,,
P608,18,P607,19,,,
P607,9,P605,A,,,
P607,7,P605,C,,,
P607,11,J609,1,,,
P607,31,J609,6,,,
P607,16,J609,5,,,
P607,30,J609,9,,,
P607,10,P607,6,,,
P607,27,P607,3,,,
P607,25,J699,39,,,
P607,4,J699,38,,,
P607,5,J699,24,,,
P607,21,J699,7,,,
P607,13,J699,6,,,
P607,1,J699,5,,,
P607,29,J699,23,,,
P607,2,J699,22,,,
P605,D,J699,25,,,
P609,1,P609,6,,,
P609,5,P609,9,,,
P602,A,J699,2,,,
P602,B,J699,1,,,
P602,C,J610,B,,,
P602,D,J610,A,,,
P602,E,J699,35,,,
P602,F,J699,34,,,
P602,G,J699,4,,,
P602,H,J699,3,,,
P610,B,P610,A,,,
P606,1,P603,A,,,
P606,6,P603,C,,,
P606,2,P603,B,,,
P606,7,P603,D,,,
P606,8,J699,20,,,
P606,13,J699,21,,,
P606,10,J699,37,,,
P606,5,J699,36,,,
J601B,37,P616,4,,,
J601B,37,J699,33,,,
J601B,38,P616,12,,,
J601B,38,J699,32,,,
J601B,46,P611,J,,,
J601B,47,P611,K,,,
J601B,34,P619,12,,,
J601B,43,P619,15,,,
J601B,36,P619,28,,,
J601B,51,P619,24,,,
J601B,58,P619,23,,,
J601B,58,J699,44,,,
J601B,35,P619,18,,,
J601B,44,P619,22,,,
J601B,59,P619,26,,,
J601B,42,P617,23,,,
J601B,49,P617,5,,,
J601B,56,P617,17,,,
J601B,62,P617,16,,,
J601B,55,P617,21,,,
J601B,57,P617,12,,,
J601B,66,P617,15,,,
J601B,50,P617,11,,,
J601B,48,P617,24,,,
J601B,40,P617,25,,,
J601B,41,P617,8,,,
J601B,63,P617,4,,,
P617,1,P615,A,,,
P617,2,P615,C,,,
P617,14,P615,B,,,
P617,3,P615,D,,,
P617,7,FTR1,19,,,
P617,19,FTR1,7,,,
P617,20,P619,20,,,
P617,18,P619,19,,,
P619,9,P614,A,,,
P619,7,P614,C,,,
P619,11,J618,1,,,
P619,31,J618,6,,,
P619,16,J618,5,,,
P619,30,J618,9,,,
P619,10,P619,6,,,
P619,27,P619,3,,,
P619,25,J699,45,,,
P619,4,J699,46,,,
P619,5,J699,27,,,
P619,21,J699,11,,,
P619,13,J699,12,,,
P619,1,J699,13,,,
P619,29,J699,28,,,
P619,2,J699,29,,,
P614,D,J699,26,,,
P618,1,P618,6,,,
P618,5,P618,9,,,
P611,A,J699,16,,,
P611,B,J699,17,,,
P611,C,J612,B,,,
P611,D,J612,A,,,
P611,E,J699,49,,,
P611,F,J699,50,,,
P611,G,J699,14,,,
P611,H,J699,15,,,
P612,B,P612,A,,,
P616,1,P613,A,,,
P616,6,P613,C,,,
P616,2,P613,B,,,
P616,7,P613,D,,,
P616,8,J699,31,,,
P616,13,J699,30,,,
P616,10,J699,47,,,
P616,5,J699,48,,,
P601A,28,P601,28,,,
P601A,29,P601,29,,,
P601A,20,P601,20,,,
P601A,21,P601,21,,,
P601A,25,P601,25,,,
P601A,17,P601,17,,,
P601A,27,P601,27,,,
P601A,10,P601,10,,,
P601A,11,P601,11,,,
P601A,4,P601,4,,,
P601A,26,P601,26,,,
P601A,18,P601,18,,,
P601A,5,P601,5,,,
P601A,33,P601,33,,,
P601A,23,P601,23,,,
P601A,15,P601,15,,,
P601A,8,P601,8,,,
P601A,14,P601,14,,,
P601A,16,P601,16,,,
P601A,3,P601,3,,,
P601A,24,P601,24,,,
P601A,32,P601,32,,,
P601A,22,P601,22,,,
P601A,31,P601,31,,,
P601A,9,P601,9,,,
P601A,37,P601,37,,,
P601A,38,P601,38,,,
P601A,46,P601,46,,,
P601A,47,P601,47,,,
P601A,34,P601,34,,,
P601A,43,P601,43,,,
P601A,36,P601,36,,,
P601A,51,P601,51,,,
P601A,52,P601,52,,,
P601A,58,P601,58,,,
P601A,35,P601,35,,,
P601A,44,P601,44,,,
P601A,59,P601,59,,,
P601A,42,P601,42,,,
P601A,49,P601,49,,,
P601A,56,P601,56,,,
P601A,62,P601,62,,,
P601A,55,P601,55,,,
P601A,57,P601,57,,,
P601A,66,P601,66,,,
P601A,50,P601,50,,,
P601A,41,P601,41,,,
P601A,48,P601,48,,,
P601A,40,P601,40,,,
P601A,63,P601,63,,,